metric,BM25,Dense_E5,Weighted_Hybrid_RRF,Reranker,best_method,best_value,reranker_minus_BM25,reranker_vs_BM25_percent,reranker_minus_Dense_E5,reranker_vs_Dense_E5_percent,reranker_minus_Weighted_Hybrid_RRF,reranker_vs_Weighted_Hybrid_RRF_percent
recall@1,0.343754,0.421615,0.422313,0.539686,Reranker,0.539686,0.195932,56.997737,0.118071,28.004459,0.117373,27.792893
recall@3,0.528995,0.624869,0.625102,0.728646,Reranker,0.728646,0.199651,37.741567,0.103777,16.607801,0.103544,16.564337
recall@5,0.605113,0.700407,0.708077,0.784195,Reranker,0.784195,0.179082,29.594803,0.083788,11.962759,0.076118,10.749961
recall@10,0.687391,0.783614,0.785125,0.83498,Reranker,0.83498,0.147589,21.470895,0.051366,6.555013,0.049855,6.349944
mrr,0.453844,0.540115,0.541863,0.644133,Reranker,0.644133,0.190289,41.928284,0.104018,19.258491,0.10227,18.873774
ndcg@10,0.497519,0.585338,0.586727,0.676292,Reranker,0.676292,0.178773,35.932899,0.090954,15.538714,0.089565,15.265191
